pubchem_id,flavor_id
6322,0
6736,1
6736,2
6736,3
6736,4
6736,5
6736,6
31252,7
31252,8
31252,9
31252,10
31252,11
31252,12
31252,13
31252,14
31252,15
7909,16
7909,17
7909,18
7909,19
7909,20
7909,21
7909,22
7284,23
7284,24
7284,11
7284,25
7284,26
7501,27
7501,28
7501,29
7501,30
7501,31
7501,32
9609,33
9609,34
12180,35
12180,36
12180,37
12180,38
12180,39
12180,30
12180,20
18827,40
18827,41
18827,42
18827,43
18827,44
18827,45
18827,46
18827,22
18635,47
18635,48
18635,49
18635,41
18635,23
18635,43
18635,50
18635,51
18635,52
18635,53
612,54
19602,55
19602,56
19602,48
19602,43
19602,57
19602,20
19602,58
19602,22
11509,37
11509,59
11509,60
11509,30
11509,61
11509,20
6202,62
6202,63
6202,64
454,65
454,66
454,67
454,68
454,69
454,59
454,70
454,71
454,22
957,72
957,73
957,74
957,59
957,75
957,76
957,71
957,46
957,22
12266,77
12266,33
12266,78
12266,75
12266,79
12266,53
12266,80
18554,43
18554,30
18554,72
18554,81
798,72
798,82
798,2
798,3
798,41
798,29
798,83
798,84
798,85
798,4
342,10
342,86
342,12
342,4
342,87
342,15
342,32
12748,48
12748,49
12748,25
12748,88
12748,22
8184,66
8184,89
8184,74
8184,59
8184,90
8184,91
8184,29
8184,92
3776,12
3776,64
3776,23
3776,93
31289,66
31289,94
31289,68
31289,74
31289,69
31289,22
31289,41
31289,59
31289,90
31289,70
31289,95
31289,71
31289,96
31289,97
5311110,98
8094,63
8094,99
8094,100
8094,101
8094,102
9261,103
9261,104
9261,105
9261,106
9261,107
994,54
12232,66
12232,108
12232,34
12232,109
12232,110
12232,111
12232,48
12232,70
12232,29
12232,43
12232,12
12232,20
12232,112
12232,25
12232,80
12232,113
12232,22
998,114
998,85
998,115
998,30
998,116
998,11
998,97
998,22
998,51
998,29
998,64
8027,33
8027,25
8027,30
8027,117
6140,54
6140,64
11747,55
11747,118
11747,119
11747,30
11747,107
11747,50
11747,25
11747,102
5321950,33
5321950,120
5321950,39
5321950,107
5321950,20
5321950,25
5321950,22
996,121
996,32
996,122
996,87
878,123
878,124
878,28
878,125
6274,54
6274,64
8093,126
8093,43
8093,28
8093,127
8093,18
8093,12
8093,64
8093,67
1049,63
1049,109
1049,41
1049,101
1049,128
1049,129
379,99
379,100
379,48
379,59
379,70
379,101
379,42
379,102
402,130
402,131
27457,40
27457,103
27457,77
27457,100
27457,47
27457,132
27457,23
27457,43
27457,51
27457,25
27457,133
1068,123
1068,34
1068,108
1068,111
1068,28
1068,48
1068,134
1068,106
1068,49
1068,135
1068,136
1068,22
12097,119
12097,17
12097,137
12097,138
12097,26
1130,64
7976,139
7976,104
7976,11
7976,51
7976,25
7976,140
7976,22
247,141
16666,142
16666,143
16666,144
16666,145
16666,146
16666,147
644104,148
644104,149
12020,55
12020,107
12020,150
12020,151
12020,22
12020,48
12020,64
12020,20
527,16
527,93
527,152
527,153
527,43
527,11
527,107
527,25
2879,154
2879,3
2879,155
2879,121
2879,156
